,domain,left_days,alive_days,update_days
99,ccleaner.com,5483,5483,505
100,toutiaoyule.com,1242,1242,54
101,ccarting.com,4782,4782,430
102,minisrclink.cool,221,221,163
103,parkingcrew.net,3036,3036,64
104,winscp.net,5210,5210,96
105,doko.moe,826,826,102
106,xuanwu88.com,616,616,165
107,cncrk.com,5449,5449,1492
108,mg3721.com,1622,1622,579
109,jupyter.org,1851,1851,51
110,x4w.co,221,221,221
111,gotoip2.com,3416,3416,144
112,dler.org,5633,5633,1142
113,heinote.com,1135,1135,50
114,pft12301.cc,1227,1227,39
115,gllmh.com,303,303,31
116,mobileanjian.com,1576,1576,155
117,lyzbyx.com,988,988,543
118,woaoo.net,3316,3316,789
119,lce9v.com,1045,1045,342
120,ex-torrenty.org,807,807,76
121,downxia.com,5010,5010,122
122,sharewithu.com,3652,3652,66
123,cedexis.com,3783,3783,342
124,zmeng123.com,2244,2244,82
125,daheit.cc,127,127,122
126,jianshe99.com,5095,5095,418
127,bytefence.com,1738,1738,300
128,yikuai.com,3353,3353,97
129,ifengcdn.com,2406,2406,295
130,16pic.com,1673,1673,24
131,nyaatorrents.info,711,711,542
132,gsxzq.com,256,256,256
133,runclickrun.com,424,424,64
134,50zera.com,1033,1033,324
135,mlinks.cc,1207,1207,65
136,dj134.com,300,300,300
137,6m5m.com,2158,2158,31
138,wacai.com,4951,4951,1172
139,yuanzhe.me,1521,1521,70
140,rootjl.com,2280,2280,618
141,7dsw.com,3097,3097,241
142,xsfaya.com,208,208,208
143,02wq.com,303,303,303
144,fkvideo.cc,156,156,156
145,iyouman.com,2213,2213,2213
146,znj.com,7964,7964,7964
147,googlecn.cc,352,352,352
148,fanxing.com,5458,5458,348
149,cibn.cc,2679,2679,544
150,z8q.cc,1322,1322,907
151,haotukankan.com,1103,1103,179
152,sowcar.com,331,331,331
153,gezila.com,3275,3275,716
154,weico.cc,3086,3086,354
155,domobcdn.com,1622,1622,184
156,6071.com,4580,4580,92
157,wagoo2.com,449,449,95
158,bangwo8.net,3133,3133,393
159,xzw.com,7071,7071,1390
160,yy845.com,1796,1796,123
161,46sdzf3zdg1dxg2.us,766,766,48
162,shenchuang.com,6473,6473,84
163,tyread.com,2292,2292,110
164,cnkang.com,4671,4671,647
165,veryarm.com,2373,2373,162
166,tripod.com,8997,8997,152
167,mininova.org,5233,5233,119
168,liangchan.net,3666,3666,39
169,kankanshu.cc,262,262,59
170,wicp.net,2791,2791,232
171,qupeiyin.com,1614,1614,548
172,u33.cc,2918,2918,390
173,cnscg.com,3905,3905,132
174,qingclass.cc,684,684,346
175,9377.com,5435,5435,1026
176,lclk.info,117,117,117
177,jekyllrb.com,3672,3672,50
178,88rpg.net,2177,2177,359
179,cn.com,7651,7651,517
180,ipify.org,1959,1959,437
181,etahub.com,3111,3111,116
182,cr173.com,4777,4777,92
183,jiamarket.com,2171,2171,726
184,hao315.com,5535,5535,365
185,biquge.info,1957,1957,649
186,91leku.com,1277,1277,240
187,hivps.xyz,696,696,670
188,myloglist.top,1171,1171,0
189,dataoke.com,2908,2908,78
190,lotour.net,5170,5170,89
191,urlload.net,194,194,106
192,promlinkdev.com,296,296,163
193,3001.net,5667,5667,82
194,zokio.net,769,769,136
195,yezhulu.cc,307,307,307
196,99lb.net,2356,2356,188
197,000webhostapp.com,1102,1102,773
198,haretahoo.science,798,798,441
199,ichaichuan.com,1346,1346,248
200,hostgator.com,6052,6052,1403
201,97ting.com,2940,2940,51
202,osdn.net,6203,6203,375
203,aoao365.com,2571,2571,57
204,ylyk.com,4370,4370,68
205,pudn.com,5659,5659,243
206,xigua.com,6033,6033,1071
207,tjj.com,6369,6369,2349
208,51edu.com,6215,6215,878
209,gotoip55.com,3301,3301,393
210,libplayer.com,527,527,81
211,ywtx.cc,2604,2604,79
212,xzqh.info,3340,3340,625
213,wfboer.com,988,988,543
214,bookfi.net,2234,2234,420
215,free.fr,0,585,0
216,ztcadx.com,1983,1983,171
217,upantool.com,3313,3313,221
218,lwtxt.cc,583,583,239
219,kuroy.me,2215,2215,74
220,yximgs.com,2585,2585,495
221,dakao8.com,3752,3752,1430
222,openedv.com,3091,3091,275
223,rutracker.cc,1309,1309,213
224,ptvcdn.net,2733,2733,243
225,mting.info,2615,2615,1370
226,ufileos.com,1212,1212,207
227,qqtn.com,4937,4937,92
228,tfzcode.com,584,584,584
229,9779.info,3252,3252,363
230,lvsetxt.com,3853,3853,51
231,sgshurufa.com,1761,1761,171
232,wkanx.com,1401,1401,449
233,umeng.co,2916,2916,505
234,qcloudcdn.com,1363,1363,359
235,7654.com,6350,6350,171
236,pow7.com,4538,4538,1645
237,go2yd.com,1979,1979,351
238,uniplayad.com,1134,1134,94
239,yiwanzhushou.com,1580,1580,194
240,my.com,8919,8919,308
241,khoaf.com,94,94,40
242,epicgames.com,8895,8895,271
243,applinzi.com,1293,1293,354
244,3322.org,6367,6367,410
245,yanfabu.com,2193,2193,250
246,sticker.la,2342,2342,106
247,169it.com,2450,2450,821
248,apxadtracking.net,1381,1381,283
249,yx-s.net,1907,1907,533
250,pptjia.com,3618,3618,349
251,leechers-paradise.org,2479,2479,94
252,myjhxl.com,855,855,177
253,cdn321.com,1778,1778,316
254,photios-raj.com,207,207,207
255,trackerfix.com,2164,2164,346
256,xiangyuerom.com,1230,1230,151
257,sektori.org,5515,5515,45
258,concen.cc,914,914,198
259,anyisheng.com,2826,2826,689
260,yx-g.com,1907,1907,533
261,pgzs.com,4324,4324,339
262,xiepp.cc,980,980,548
263,fionades.com,912,912,183
264,jianbaimei.com,1707,1707,251
265,maihehd.com,1613,1613,208
266,fwxgx.com,3442,3442,75
267,xiazaicc.com,753,753,51
268,yx-s.com,1907,1907,533
269,12317wan.com,2323,2323,527
270,icanhazip.com,3578,3578,291
271,happy-host.com,664,664,320
272,ali213.net,6538,6538,1789
273,kousou.cc,309,309,221
274,webcindario.com,6653,6653,450
275,w3.org,9082,9082,148
276,testrequest.info,1383,1383,681
277,5idzc.com,1801,1801,278
278,survey-smiles.com,330,330,298
279,securestudies.com,5022,5022,272
280,files.fm,2920,2920,638
281,ccgslb.net,4215,4215,1012
282,sdg-china.com,3082,3082,193
283,388g.com,4526,4526,112
284,dfshurufa.com,1695,1695,171
285,uzzf.com,4551,4551,92
286,daum.net,8474,8474,1004
287,fxxz.com,5621,5621,92
288,anquanxia.com,3050,3050,389
289,jianke.com,6689,6689,1412
290,fireemblem.net,6161,6161,320
291,ctdns.net,2187,2187,395
292,dp9888.com,430,430,173
293,moyumedia.com,822,822,122
294,ruubypay.com,793,793,659
295,pandownload.com,678,678,19
296,yeshj.com,4226,4226,695
297,so9.cc,1622,1622,781
298,cctianhong.com,4316,4316,289
299,mimo51.com,4225,4225,88
300,grepler.com,3323,3323,36
301,ghost580.net,1064,1064,333
302,xitongzhijia.net,3050,3050,3050
303,80s.la,2817,2817,54
304,dynamodule.info,1209,1209,87
305,13143.org,1291,1291,193
306,kuai8.com,3739,3739,67
307,kickasstracker.com,43,43,43
308,longhoo.net,6891,6891,57
309,chickenkiller.com,6717,6717,158
310,6sq.net,6019,6019,6019
311,blucd.org,171,171,171
312,jdhyjf.com,990,990,543
313,avg.com,8964,8964,80
314,9ht.com,5193,5193,61
315,iwan4399.com,2726,2726,123
316,adbyby.com,1920,1920,137
317,ebiotrade.com,7074,7074,136
318,lfppt.com,1333,1333,37
319,sanguoq.com,3387,3387,130
320,ibzu.me,1082,1082,359
321,proxdevcool.com,296,296,163
322,elecfans.com,4817,4817,205
323,zbjimg.com,3335,3335,1808
324,ddooo.com,5626,5626,279
325,clewm.net,2160,2160,188
326,xinshiye.cc,743,743,397
327,internetwarriors.net,1558,1558,127
328,wn51.com,4722,4722,379
329,itunes.com,7585,7585,233
330,5ibrz.com,1801,1801,278
331,geilicdn.com,2895,2895,348
332,bt.co,3309,3309,1074
333,acentsd.com,871,871,253
334,publicvm.com,4321,4321,662
335,tv002.com,2781,2781,224
336,tsdm.me,2910,2910,531
337,51kus.com,3600,3600,379
338,orsoon.com,5101,5101,254
339,xyimg.net,2313,2313,2313
340,uuserv70.com,530,530,174
341,000o.cc,982,982,274
342,hanvon.com,5050,5050,309
343,xueyanshan.com,602,602,378
344,veryamt.com,2617,2617,155
345,pengpengla.com,1800,1800,379
346,shreeramworld.com,1826,1826,364
347,91danji.com,3630,3630,1502
348,maccms.net,2432,2432,66
349,wandoujia.com,3334,3334,264
350,bounceme.net,6490,6490,372
351,zolsearch.com,2258,2258,95
352,yxad.com,5394,5394,5394
353,ezwebtest.com,3278,3278,823
354,kaola100.com,2879,2879,629
355,uuserv70.net,530,530,174
356,kuaizip.com,3125,3125,235
357,klm123.com,739,739,39
358,zyiis.net,3653,3653,32
359,12349.net,5022,5022,5022
360,mourl.cc,824,824,803
361,f3322.org,2439,2439,306
362,51.la,5234,5234,54
363,kkkkkdajlhlkjhsdewgtuv.com,199,199,24
364,qquu8.com,2706,2706,88
365,kaopu001.com,2237,2237,159
366,twcczhu.com,3339,3339,58
367,mg64.net,2992,2992,465
368,monocul.us,1262,1262,166
369,51wady.com,1886,1886,50
370,h4ck.me,3955,3955,303
371,xgsdk.com,1647,1647,397
372,hyz86.com,2126,2126,492
373,weebly.com,4798,4798,939
374,imedao.com,3392,3392,500
375,oocities.org,3168,3168,350
376,tujingdy.com,240,240,222
377,exacttarget.com,7026,7026,331
378,menww.com,2351,2351,188
379,iyouxia.com,2598,2598,73
380,veoh.com,5076,5076,328
381,best-torrents.net,215,215,215
382,gldjc.com,2748,2748,75
383,oray.net,2581,2581,32
384,iuwzs.com,904,904,106
385,xbbav.cc,38,38,38
386,voicefive.com,6882,6882,272
387,yunshenjia.com,1429,1429,67
388,etdown.tv,1157,1157,1157
389,dnpz.net,3316,3316,51
390,bhdata.com,5852,5852,445
391,zhuchao.cc,2430,2430,1825
392,hxgame.net,5490,5490,5490
393,newasp.net,5565,5565,92
394,pcfreetime.com,3735,3735,368
395,51ckm.com,787,787,63
396,bbk.com,7999,7999,362
397,constantcontact.com,7536,7536,263
398,9xiu.com,2893,2893,705
399,shuntv.net,1236,1236,155
400,xfplay.com,3460,3460,621
401,wareztorrent.com,1726,1726,222
402,manhuagui.com,627,627,292
403,publicbits.com,2188,2188,384
404,xiaoxintoutiao.com,268,268,268
405,viidii.info,1978,1978,100
406,paopaoche.net,4669,4669,61
407,uu.cc,7888,7888,312
408,lofter.com,7862,7862,110
409,25pp.com,5333,5333,131
410,fastapi.net,2040,2040,416
411,liqucn.com,3296,3296,525
412,qswzayy.com,626,626,283
413,99shiji.com,970,970,328
414,pc6.com,7389,7389,116
415,acgvideo.com,2884,2884,1057
416,sdbeta.com,3356,3356,238
417,vpgcdn.com,1473,1473,64
418,csze.com,2333,2333,455
